model,time,mean_brier,std_brier,missingness_level,mechanism,folder,R_L
COX,45.0,0.0016757444942834,0.0,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,64.0,0.0020543711687587,6.236835763681673e-06,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,164.9255102040816,0.008089428536132,5.79548241884549e-05,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,198.93163265306123,0.0060738979069636,0.0001017710733245,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,266.0,0.0028065730390387,0.000126851377655,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,284.8510204081632,0.0165708410328307,0.0002523906678144,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,333.86326530612246,0.0212146687396097,0.0010227530352294,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,359.21632653061226,0.0141557287503833,0.0005426391756684,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,404.77653061224487,0.0248169754682425,0.0005170305974239,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,452.43265306122447,0.0335377931061747,0.0018317984344221,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,468.7948979591837,0.0363551752950391,0.0033163347946783,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,524.7020408163264,0.0389230134319808,0.000423070812874,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,545.6489795918367,0.0368504873478213,0.0020184704762158,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,603.7265306122449,0.0451035260683636,0.0068756197145397,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,638.8653061224489,0.0496900287554002,0.0012934874269035,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,644.6275510204081,0.0464011999211196,0.0008979038543398,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,732.0816326530612,0.0559925926944264,0.0002181899013216,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,738.6581632653061,0.0578969831273121,0.0112594168657539,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,764.5530612244897,0.051584542512989,0.0009033774449524,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,825.2979591836734,0.0627484190152744,0.0015378938209147,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,873.5897959183674,0.0678346941947148,0.0159612487119973,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,884.4785714285713,0.0618462489417528,0.0011128881903561,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,918.5142857142856,0.0696999823104921,0.0023338209803894,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1004.404081632653,0.0665445249079528,0.0006249016751793,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1008.5214285714286,0.0798202892433084,0.0217980934585538,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1011.730612244898,0.0702842985629723,0.0032931102245045,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1104.9469387755105,0.0695361627267472,0.0045750804791515,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1124.3295918367346,0.0660035539469936,0.0007545862659278,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1143.4530612244898,0.0925284780283952,0.0289329006205788,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1198.1632653061224,0.0760960104824233,0.0038273908331649,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1244.2551020408162,0.0712888504520458,0.000970011872544,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1278.384693877551,0.0999159518362037,0.0349643375792562,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1291.3795918367346,0.0764259248630216,0.0032195864891804,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1364.1806122448977,0.0720645432573604,0.0012230590513373,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1384.5959183673467,0.0814913852594864,0.0031731234880775,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1413.3163265306123,0.1050591001124772,0.0370159113998869,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1477.812244897959,0.0846927820884238,0.0032247787701418,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
COX,1484.1061224489797,0.0732968669808117,0.0005292240292313,40,MAR,./../ibs_results/rotterdam/MAR_L_COX,L
