dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_10_MAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,1
rotterdam_missing_10_MAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,2
rotterdam_missing_10_MAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2091074071694219,0.0313600589541075,0.1933997891408924,0.0214097717009038,10,MAR,L,COX,3
rotterdam_missing_10_MAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,4
rotterdam_missing_10_MAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,5
rotterdam_missing_10_MAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2091074071694219,0.0313600589541075,0.1933997891408924,0.0214097717009038,10,MAR,L,COX,6
rotterdam_missing_10_MAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2290060055745451,0.0247122256672066,10,MAR,L,COX,7
rotterdam_missing_10_MAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,8
rotterdam_missing_10_MAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,L,COX,9
rotterdam_missing_10_MAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1867413782078708,0.0205622675242127,10,MAR,L,COX,10
rotterdam_missing_50_MAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1816366413631869,0.0212617375987392,50,MAR,L,COX,1
rotterdam_missing_50_MAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1816366413631869,0.0212617375987392,50,MAR,L,COX,2
rotterdam_missing_50_MAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2034344804511498,0.0235388141584275,0.1753759232404745,0.0185302108124463,50,MAR,L,COX,3
rotterdam_missing_50_MAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1816366413631869,0.0212617375987392,50,MAR,L,COX,4
